Rank, name, size
977, golang-github-ctdk-goiardi-dev, 26
978, libghc-cryptol-prof, 26
979, libghc-gi-gdk-dev, 26
980, libghc-gi-gdkx11-dev, 26
981, libghc-heist-prof, 26
982, libghc-hpack-dev, 26
983, libghc-http-client-dev, 26
984, libghc-servant-server-prof, 26
985, libghc-wai-app-static-prof, 26
986, libghc-wreq-prof, 26
987, hedgewars, 26
988, libghc-hlint-dev, 26
989, jdim, 26
990, kalzium, 26
991, khangman, 26
992, kig, 26
993, knights, 26
994, libkf5pimtextedit5abi2, 26
995, kradio4, 26
996, kscreen, 26
997, libkwin4-effect-builtins1, 26
998, ldm, 26
999, libattean-perl, 26
1000, libplack-perl, 26
1001, librdf-linkeddata-perl, 26
1002, linphone, 26
1003, ltsp-client, 26
1004, mediawiki2latex, 26
1005, metacity, 26
1006, libmuffin0, 26
1007, nama, 26
1008, nautilus, 26
1009, nheko, 26
1010, ocserv, 26
1011, libopenms2.4.0, 26
1012, python3-panko, 26
1013, parole, 26
1014, php-horde-passwd, 26
1015, piglit, 26
1016, python-glance-store, 26
1017, python-oslo.messaging, 26
1018, python-taskflow, 26
1019, libqgis-server2.18.28, 26
1020, kde-style-qtcurve-qt5, 26
1021, qtractor, 26
1022, r-cran-plotly, 26
1023, r-cran-shiny, 26
1024, scilab-minimal-bin, 26
1025, libslepc-real3.10, 26
1026, slic3r, 26
1027, smokeping, 26
1028, squid, 26
1029, python-sugar3, 26
1030, systemd, 26
1031, texmaker, 26
1032, totem, 26
1033, ukui-power-manager, 26
1034, budgie-appmenu-applet, 26
1035, xfce4-appmenu-plugin, 26
1036, xserver-xorg-core, 26
1037, aseba, 25
1038, cairo-dock-clock-plug-in, 25
1039, cairo-dock-gmenu-plug-in, 25
1040, cairo-dock-keyboard-indicator-plug-in, 25
1041, cairo-dock-messaging-menu-plug-in, 25
1042, cairo-dock-recent-events-plug-in, 25
1043, cairo-dock-shortcuts-plug-in, 25
1044, cairo-dock-slider-plug-in, 25
1045, cairo-dock-system-monitor-plug-in, 25
1046, cairo-dock-xgamma-plug-in, 25
1047, caja-seahorse, 25
1048, calligrawords, 25
1049, claws-mail-pgpmime, 25
1050, claws-mail-smime-plugin, 25
