# Transitive Dependencies
Rank, name, size
417, kvpnc, 481
418, plasma-theme-oxygen, 481
419, python-mecavideo, 481
420, sucrose, 481
421, dolphin4, 480
422, parley, 480
423, kscd, 480
424, kfritz, 480
425, komparator, 480
426, kradio4, 480
427, basket, 479
428, cantor-backend-python, 479
429, cantor-backend-python3, 479
430, kdebase-bin, 479
431, kaccessible-dbg, 479
432, kamerka, 479
433, kchmviewer, 479
434, kdeconnect-plasma, 479
435, kdelirc, 479
436, kexi-web-form-widget, 479
437, kover, 479
438, kppp, 479
439, kremotecontrol-dbg, 479
440, python-woo, 479
441, cairo-dock-dbus-plug-in-interface-mono, 478
442, cantor-backend-python2, 478
443, kaccessible, 478
444, kalgebramobile, 478
445, kde-baseapps-bin, 478
446, kdeconnect, 478
447, kremotecontrol, 478
448, keurocalc, 478
449, kmetronome, 478
450, kmidimon, 478
451, krecipes, 478
452, lemonpos, 478
453, libvisp-io-dev, 478
454, libvisp-blob-dev, 478
455, libvisp-imgproc-dev, 478
456, libvisp-klt-dev, 478
457, libvisp-me-dev, 478
458, cairo-dock-plug-ins, 477
459, dolphin, 477
460, eqonomize, 477
461, kalgebra-common, 477
462, kdbg, 477
463, kde-config-gtk-style, 477
464, kdebase-runtime, 477
465, kdiff3, 477
466, kfilereplace, 477
467, kmldonkey, 477
468, knutclient, 477
469, konqueror-nsplugins, 477
470, kredentials, 477
471, ktorrent, 477
472, libmodule-install-rtx-perl, 477
473, libkf5mailimporterakonadi5, 476
474, kde-runtime, 476
475, gstreamer0.10-qapt, 476
476, libkf5akonadicalendar5abi2, 476
477, libvisp-core-dev, 476
478, gstreamer-qapt, 475
479, kanagram, 475
480, kde-config-plymouth, 475
481, kubuntu-debug-installer-dbg, 475
482, qapt-deb-installer, 475
483, rt4-extension-repeatticket, 475
484, xfswitch-plugin, 475
485, evolution-dev, 474
486, kubuntu-debug-installer, 474
487, libastro-dev, 474
488, milou, 474
489, plasma-vault, 474
490, libkf5mailimporter5abi1, 473
491, plasma-wallpapers-addons, 473
492, rocs, 473
493, qapt-batch, 473
494, libastro1, 473
495, rt4-extension-calendar, 473
496, kdevelop-data, 472
497, marble-data, 472
498, qml-module-org-kde-kirigami, 472
499, print-manager, 472
500, python-surfer, 472
501, ros-desktop, 472
502, libkf5libkdepim-plugins, 471
503, plasma-framework, 471
504, cantor-backend-qalculate, 471
505, kde-config-telepathy-accounts, 471
506, khangman, 471
507, systemsettings, 471
508, librt-extension-commandbymail-perl, 471
509, rt4-extension-customfieldsonupdate, 471
510, rt4-extension-jsgantt, 471
511, calamares-settings-lubuntu, 470
512, cantor-backend-kalgebra, 470
513, cantor-backend-lua, 470
514, cantor-backend-sage, 470
515, libkf5libkdepimakonadi5, 470
516, umbrello, 470
517, request-tracker4, 470
518, pidgin-dev, 470
519, calamares, 469
520, kde-telepathy-kpeople, 469
521, libtelepathy-logger-qt-dev, 469
522, octave-pkg-dev, 469
523, libcantor-pythonbackend, 468
524, cantor-dev, 468
525, libktpotr9, 468
526, kexi-mysql-driver, 468
527, cantor, 467
528, libktplogger9, 467
529, libktpmodels9, 467
530, kexi-postgresql-driver, 467
531, smb4k, 467
532, mayavi2, 466
533, libktpcommoninternals9, 466
534, ros-perception, 466
535, okteta, 465
536, breeze, 464
537, libkf5alarmcalendar5abi1, 464
538, kleopatra, 464
539, kexi, 464
540, invesalius, 463
541, ktouch, 463
542, kget, 463
543, kstars, 463
544, okular-mobile, 463
545, python3-woo, 463
546, tagua, 463
547, kmplayer, 462
548, xubuntu-core, 462
549, kde-telepathy-debugger, 461
550, ksysguard, 461
551, libabiword-dev, 461
552, gnome-shell-extensions, 460
553, kde-spectacle, 460
554, powerdevil-dev, 460
555, gwenview, 459
556, ktuberling, 459
557, kolourpaint4, 459
558, powerdevil, 459
559, libimage-geometry-dev, 459
560, artikulate, 458
561, libkf5akonadisearch-plugins, 458
562, kolf, 458
563, ksudoku, 458
564, kolourpaint, 458
565, kdesignerplugin, 458
566, libkasten3okteta1controllers1, 458
567, krita, 458
568, labplot, 458
569, mate-desktop-environment-extra, 458
570, kig, 457
571, quassel, 457
572, mate-desktop-environment-extras, 457
573, plasma-integration, 457
574, libkf5akonadisearch-bin, 456
575, step, 456
576, kgpg, 456
577, ktnef, 456
578, mate-desktop-environment, 456
579, mate-core, 456
580, ksirk, 455
581, kubrick, 455
582, libkf5tnef5, 455
583, libkpimgapicalendar5, 455
584, libkpimgapitasks5, 455
585, kompare, 455
586, libk3b7-extracodecs, 455
587, mate-desktop-environment-core, 455
588, quassel-client, 455
589, digikam-doc, 454
590, kapman, 454
591, kbattleship, 454
592, kblocks, 454
593, kfourinline, 454
594, kigo, 454
595, kmahjongg, 454
596, kshisen, 454
597, ksnakeduel, 454
598, kdemultimedia-dev, 454
599, krdc, 454
600, libkpimgapicontacts5, 454
601, khelpcenter4, 454
602, kubuntu-docs, 454
603, libk3b-dev, 454
604, libkpimgapilatitude5, 454
605, libkpimgapimaps5, 454
606, qml-modules-org-kde-purpose, 454
607, xul-ext-kwallet5, 454
608, khelpcenter, 453
609, libk3b7, 453
610, qml-module-org-kde-purpose, 453
611, libkf5kdegamesprivate1, 453
612, knavalbattle, 453
613, kbreakout, 453
614, kwrite, 453
615, kde-cli-tools, 453
616, kdiamond, 453
617, kreversi, 453
618, libkf5kdepimdbusinterfaces5, 453
619, libopensurgsim-dev, 453
620, libkf5libkdepim5abi2, 452
621, libkf5webkit5, 452
622, katomic, 452
623, qml-module-org-kde-games-core, 452
624, kde-style-oxygen-qt5, 452
625, klickety, 452
626, kpat, 452
627, lskat, 452
628, libkpimgapidrive5, 452
629, libkpimgapiblogger5, 452
630, libkf5akonadicontact5abi1, 451
631, bomber, 451
632, bovo, 451
633, granatier, 451
634, libkf5calendarutils-bin, 451
635, kalzium, 451
636, ktexteditor-katepart, 451
637, kblackbox, 451
638, kbounce, 451
639, kde-config-screenlocker, 451
640, kwordquiz, 451
641, kgoldrunner, 451
642, killbots, 451
643, kiriki, 451
644, kjumpingcube, 451
645, klines, 451
646, kmines, 451
647, kollision, 451
648, konquest, 451
649, kspaceduel, 451
650, ksquares, 451
651, picmi, 451
652, libkpimgapicore5, 451
653, kup-backup, 451
654, skanlite, 451
655, okular-extra-backends, 451
656, qml-module-org-kde-okular, 451
657, ubuntu-release-upgrader-gtk, 450
658, update-manager, 450
659, update-notifier, 450
660, libkf5kdegames7, 450
661, libkf5texteditor5, 450
662, libkf5calendarutils5abi1, 450
663, kio-audiocd-dev, 450
664, kdemultimedia-kio-plugins, 450
665, konversation, 450
666, qml-module-org-kde-newstuff, 450
667, qtdeclarative5-kf5declarative, 450
668, yade, 450
669, diaspora-installer-mysql, 449
670, kio-audiocd, 449
671, kirigami-gallery, 449
672, kmailtransport-akonadi, 449
673, ktouch-data, 449
674, libkwin4-effect-builtins1, 449
675, yakuake, 449
676, libkf5mailtransportakonadi5, 448
677, kbibtex, 448
678, libkf5purpose-bin, 448
679, kirigami2-dev, 448
680, libkf5plasmaquick5, 448
681, qml-module-org-kde-kcm, 448
682, unity-autopilot, 448
683, gdm3, 447
684, libkf5baloowidgets5, 447
685, qml-module-org-kde-kirigami2, 447
686, kdewebdev, 447
687, soundkonverter, 447
688, libkf5kcmutils5, 446
689, diaspora-installer, 446
690, python-ipaserver, 446
691, kaccounts-providers, 446
692, kiten, 446
693, kdesvn, 446
694, kimagemapeditor, 446
695, os-autoinst, 446
696, libkf5libkleo5abi1, 445
697, kde-config-sddm, 445
698, plasma-runners-addons, 445
699, lokalize, 445
700, khotkeys, 445
701, kvpm, 445
702, libkf5contacteditor-dev, 445
703, libkf5akonadimime5, 444
704, libkf5identitymanagement5abi1, 444
705, konsole, 444
706, kaccounts-integration, 444
707, kmix, 444
708, kscreenlocker-dev, 444
709, libtelepathy-qt5-dev, 444
710, lubuntu-core, 444
711, lubuntu-gtk-core, 444
712, qml-module-org-kde-kquickcontrols, 444
713, ark, 443
714, cervisia, 443
715, kaffeine, 443
716, kde-config-fcitx, 443
717, libkscreenlocker5, 443
718, kde-style-qtcurve-qt5, 443
719, kmplot, 443
720, libkasten3controllers3, 443
721, kwave, 443
722, qml-module-org-kde-runnermodel, 443
723, libkf5pimtextedit5abi2, 442
724, ffmpegthumbs, 442
725, kfind, 442
726, kmenuedit, 442
727, krename, 442
728, kross, 442
729, libkf5kdelibs4support5-bin, 442
730, libkf5konq-dev, 442
731, libkf5kdelibs4support5, 441
732, cimg-dev, 441
733, kamera, 441
734, libkasten3okteta1gui1, 441
735, konsole-kpart, 441
736, libkf5konq6, 441
737, libkf5runner5, 441
738, libkf5khtml-bin, 441
739, okular-dev, 441
740, libkf5grantleetheme5, 440
741, libkf5khtml5, 440
742, keditbookmarks, 440
743, kdeadmin, 440
744, sweeper, 440
745, kpart5-kompare, 440
746, krusader, 440
747, libcolorcorrect5, 440
748, libokular5core8, 440
749, libweather-ion7, 440
750, libkf5plasma5, 439
751, klettres, 439
752, kshutdown, 439
753, libkf5purposewidgets5, 439
754, partitionmanager, 439
755, rsibreak, 439
756, nova-volume, 438
757, libkf5kontactinterface5, 438
758, libkf5purpose5, 438
759, kturtle, 438
760, kuiviewer, 438
761, kdetoys, 438
762, libkf5mediaplayer5, 438
763, libkf5krossui5, 438
764, libkf5parts-plugins, 438
765, massif-visualizer, 438
766, libkf5newstuff5, 437
767, qml-module-org-kde-kquickcontrolsaddons, 437
768, dragonplayer, 437
769, kactivitymanagerd, 437
770, kpartloader, 437
771, kteatime, 437
772, libkasten3gui3, 437
773, svgpart, 437
774, libkf5parts5, 436
775, baloo, 436
776, libkf5baloowidgets-bin, 436
777, palapeli, 436
778, libkomparediff2-5, 436
779, libkf5baloowidgets-data, 436
780, libtaskmanager6, 436
781, baloo-kf5, 435
782, qml-module-org-kde-kio, 435
783, filelight, 435
784, frameworkintegration, 435
785, kwalletmanager, 435
786, juk, 435
787, k4dirstat, 435
788, kcachegrind, 435
789, libkf5quickaddons5, 435
790, kmag, 435
791, kmouth, 435
792, ksystemlog, 435
793, kdf, 435
794, kpackagelauncherqml, 435
795, qml-module-org-kde-kcoreaddons, 435
796, libqupzilla-dev, 435
797, libqupzilla1, 435
798, qml-module-org-kde-draganddrop, 435
799, qml-module-org-kde-kwindowsystem, 435
800, qml-module-org-kde-kconfig, 435
801, python-autopilot-tests, 435
802, qupzilla, 435
803, qupzilla-plugin-kwallet, 435
804, facedetect, 434
805, falkon, 434
806, libkf5declarative5, 434
807, libkf5blog5, 434
808, vanilla-gnome-default-settings, 434
809, libcheese-gtk-dev, 433
810, flowblade, 433
811, kcron, 433
812, kdesdk-kio-plugins, 433
813, libsikuli-script-java, 433
814, kde-config-cron, 432
815, kde-config-mailtransport, 432
816, kdegraphics-thumbnailers, 432
817, libkf5cddb-dev, 432
818, libsikulixapi-java, 432
819, user-manager, 432
820, libkf5mailtransport5abi2, 431
821, libkf5sane5, 431
822, drkonqi, 431
823, heaptrack-gui, 431
824, kde-config-cddb, 431
825, kde-thumbnailer-deb, 431
826, kdesvn-kio-plugins, 431
827, libkcddb-dbg, 431
828, libkeduvocdocument-dbg, 431
829, libkf5cddbwidgets5, 431
830, libkf5cddb5, 430
831, libkeduvocdocument5abi1, 430
832, libkf5contacteditor5, 430
833, libkf5imap5, 430
834, libkasten3okteta1core1, 430
835, kde-zeroconf, 429
836, krfb, 429
837, kio-ldap, 429
838, libkpimkdav5, 429
839, libktorrent-l10n, 429
840, libkpimsmtp5, 429
841, ubuntu-session, 428
842, libkf5notifyconfig5, 428
843, libkf5xmlrpcclient5, 428
844, libkf5newstuffcore5, 428
845, gnome-session-wayland, 428
846, gnome-shell-mailnag, 428
847, kdegraphics-mobipocket, 428
848, kdenetwork-filesharing-dbg, 428
849, kdesdk-thumbnailers, 428
850, libkasten3core3, 428
851, libktorrent6, 428
852, libkf5kmanagesieve5, 428
853, gnome-session, 427
854, kio, 427
855, kinit, 427
856, libkf5syndication5, 427
857, kapptemplate, 427
858, kdialog, 427
859, kde-config-systemd, 427
860, kdenetwork-filesharing, 427
861, kio-sieve, 427
862, ktimer, 427
863, kinit-dev, 427
864, kio-gopher, 427
865, kvirc, 427
866, pentobi-kde-thumbnailer, 427
867, nova-network, 426
868, nova-placement-api, 426
869, natbraille, 425
870, paraview-python, 424
871, libopencv-dev, 423
872, lyricue, 423
873, nova-novncproxy, 423
874, kvirc-modules, 422
875, nautilus-share, 421
876, cortina, 421
877, libedataserverui1.2-dev, 420
878, lubuntu-qt-core, 420
879, python3-autopilot-tests, 420
880, gnome-shell-extension-system-monitor, 419
881, libopencv-contrib-dev, 419
882, libosgearth-dev, 419
883, chrome-gnome-shell, 418
884, congress-server, 418
885, libcheese-dev, 417
886, autopilot-desktop-legacy, 417
887, libkf5wallet-dev, 417
888, congress-common, 416
889, gnome-shell-extension-dashtodock, 416
890, gnome-shell-extension-weather, 416
891, gnome-shell-pomodoro, 416
892, cinder-volume, 415
893, libgdata-dev, 415
894, gnome-shell-extension-tilix-dropdown, 415
895, gnome-shell-extension-tilix-shortcut, 415
896, python-pyfai-dbg, 415
897, nova-api, 414
898, gnome-platform-devel, 414
899, gnome-shell-extension-onboard, 414
900, libbrasero-media3-dev, 414
901, libburner-media3-dev, 414
902, libsimgear-dev, 414
903, libtotem-dev, 413
904, python-congress, 413
905, empathy, 412
906, libseed-gtk4-dev, 412
907, nova-compute-vmware, 412
908, open-font-design-toolkit, 412
